Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Area µm^2	Perimeter µm
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	10260.2	1263.2	65	29.45
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	10384.1	965.2	65.55	30.25
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	9921.7	1699.8	71.63	30.44
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	8742.4	1988.7	81.72	32.51
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	8973.4	1018.9	11.85	14.82
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	9132.5	932.14	60.22	28.2
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	9879.6	690.19	92.4	34.46
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	8948.2	1380	23.17	17.95
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	9803.1	1049.9	129.2	41.16
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	8865.3	1989.6	33.83	26.96
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	9187.7	1862.2	47.81	26.43
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	8650	1446.2	110.6	37.83
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	9983.7	1639.6	129.26	40.77
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	9105.6	2106.3	41.15	23.21
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	8949.9	1431.3	39.01	22.76
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	9028.8	1916.6	77.52	31.75
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	9226.5	2485.9	25.96	19.53
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	9556.3	2122.8	38.86	22.68
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	9255	2170.4	106.59	37.3
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	9079.9	1033.8	46.39	24.49
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	9923.8	1034	60.79	28.84
